method;traces;pollution;param;p
cri_tvla_1;500;gauss;256;0.00043320247759677034
cri_tvla_2;500;gauss;256;4.607334587142634e-05
dlla9;500;gauss;256;1.3023971130885282e-07
dlla2;500;gauss;256;0.4300250329542905
cri_tvla_1;500;gauss;264;0.00016950092571148295
cri_tvla_2;500;gauss;264;3.175210862629557e-06
dlla9;500;gauss;264;0.01269122587005456
dlla2;500;gauss;264;0.29830744792707264
cri_tvla_1;500;gauss;272;5.749636619292104e-05
cri_tvla_2;500;gauss;272;0.00021251252495692124
dlla9;500;gauss;272;0.01990293919390621
dlla2;500;gauss;272;0.29830744792707264
cri_tvla_1;500;gauss;280;0.00027835375510452785
cri_tvla_2;500;gauss;280;1.2220949666266275e-05
dlla9;500;gauss;280;0.05375092675127545
dlla2;500;gauss;280;0.010030803503468633
cri_tvla_1;500;gauss;288;0.00022315845764714695
cri_tvla_2;500;gauss;288;6.719968608276073e-06
dlla9;500;gauss;288;0.02289693065777364
dlla2;500;gauss;288;0.18854279373772442
cri_tvla_1;500;gauss;296;0.00011542361307192783
cri_tvla_2;500;gauss;296;5.196063635844332e-06
dlla9;500;gauss;296;0.11857131572333421
dlla2;500;gauss;296;0.7016925520729274
cri_tvla_1;500;gauss;304;0.0006296278137960585
cri_tvla_2;500;gauss;304;2.5444982455001546e-06
dlla9;500;gauss;304;0.12099699671451809
dlla2;500;gauss;304;0.18854279373772442
cri_tvla_1;500;gauss;0;5.859285508789266e-53
cri_tvla_2;500;gauss;0;1.2773706325373908e-35
dlla9;500;gauss;0;1.1277712665316303e-10
dlla2;500;gauss;0;1.2780074030160904e-06
cri_tvla_1;500;gauss;8;6.161958193650785e-54
cri_tvla_2;500;gauss;8;2.587678527194505e-29
dlla9;500;gauss;8;3.079411235591287e-12
dlla2;500;gauss;8;5.653710104525089e-05
cri_tvla_1;500;gauss;16;8.657478259494156e-38
cri_tvla_2;500;gauss;16;3.3396746852279694e-20
dlla9;500;gauss;16;5.650146021076756e-12
dlla2;500;gauss;16;7.683411240577698e-09
cri_tvla_1;500;gauss;24;8.875087009757547e-27
cri_tvla_2;500;gauss;24;1.1236467741612758e-13
dlla9;500;gauss;24;3.82336549497525e-12
dlla2;500;gauss;24;9.650597348809242e-06
cri_tvla_1;500;gauss;32;3.114075590079714e-26
cri_tvla_2;500;gauss;32;4.4963206623475605e-10
dlla9;500;gauss;32;4.07581227012048e-09
dlla2;500;gauss;32;1.2316741049289703e-07
cri_tvla_1;500;gauss;40;1.7241260335843935e-18
cri_tvla_2;500;gauss;40;3.768400388484127e-10
dlla9;500;gauss;40;1.719148244070767e-11
dlla2;500;gauss;40;1.2780074030160904e-06
cri_tvla_1;500;gauss;48;9.948216235191846e-16
cri_tvla_2;500;gauss;48;6.000367191179553e-07
dlla9;500;gauss;48;5.691245040520348e-15
dlla2;500;gauss;48;0.0002675263676792383
cri_tvla_1;500;gauss;56;1.5576749551601756e-16
cri_tvla_2;500;gauss;56;4.743315994653382e-07
dlla9;500;gauss;56;4.778002720226184e-10
dlla2;500;gauss;56;1.2780074030160904e-06
cri_tvla_1;500;gauss;64;8.718951675671456e-13
cri_tvla_2;500;gauss;64;9.614425873747755e-07
dlla9;500;gauss;64;6.74841469941244e-10
dlla2;500;gauss;64;5.653710104525089e-05
cri_tvla_1;500;gauss;72;4.258784845561271e-10
cri_tvla_2;500;gauss;72;5.5161476056439104e-06
dlla9;500;gauss;72;1.0712940321311375e-09
dlla2;500;gauss;72;1.2780074030160904e-06
cri_tvla_1;500;gauss;80;2.2301808748715114e-14
cri_tvla_2;500;gauss;80;3.549598953045753e-06
dlla9;500;gauss;80;7.421421041202505e-13
dlla2;500;gauss;80;5.653710104525089e-05
cri_tvla_1;500;gauss;88;2.7962177610691175e-10
cri_tvla_2;500;gauss;88;1.0809931261287498e-05
dlla9;500;gauss;88;1.5908092420026324e-11
dlla2;500;gauss;88;5.653710104525089e-05
cri_tvla_1;500;gauss;96;8.038811488127039e-10
cri_tvla_2;500;gauss;96;0.0001338458755273961
dlla9;500;gauss;96;1.1430594572905334e-09
dlla2;500;gauss;96;0.025051229866221547
cri_tvla_1;500;gauss;104;2.693368155587032e-07
cri_tvla_2;500;gauss;104;3.988650278460717e-05
dlla9;500;gauss;104;1.9048698218860018e-11
dlla2;500;gauss;104;5.653710104525089e-05
cri_tvla_1;500;gauss;112;6.900939121299715e-07
cri_tvla_2;500;gauss;112;6.123265664650005e-06
dlla9;500;gauss;112;5.669200791898974e-13
dlla2;500;gauss;112;9.650597348809242e-06
cri_tvla_1;500;gauss;120;7.500525800778089e-07
cri_tvla_2;500;gauss;120;1.786385647862075e-05
dlla9;500;gauss;120;5.71382794825952e-10
dlla2;500;gauss;120;0.0035001833457499743
cri_tvla_1;500;gauss;128;2.66237534379494e-07
cri_tvla_2;500;gauss;128;2.8232802681424278e-05
dlla9;500;gauss;128;2.170101853453791e-06
dlla2;500;gauss;128;0.055092082591727376
cri_tvla_1;500;gauss;136;2.5640991677882605e-06
cri_tvla_2;500;gauss;136;1.3106703304348839e-05
dlla9;500;gauss;136;3.305910347650725e-13
dlla2;500;gauss;136;5.653710104525089e-05
cri_tvla_1;500;gauss;144;7.453408742096024e-08
cri_tvla_2;500;gauss;144;5.703575865941124e-05
dlla9;500;gauss;144;1.676382454972799e-08
dlla2;500;gauss;144;0.0002675263676792383
cri_tvla_1;500;gauss;152;3.4568067083051668e-06
cri_tvla_2;500;gauss;152;1.7943499372577033e-05
dlla9;500;gauss;152;1.5629893295131166e-07
dlla2;500;gauss;152;0.0035001833457499743
cri_tvla_1;500;gauss;160;6.30271109909763e-05
cri_tvla_2;500;gauss;160;2.2838904361628442e-05
dlla9;500;gauss;160;2.101571418962216e-06
dlla2;500;gauss;160;0.18854279373772442
cri_tvla_1;500;gauss;168;1.0540994649018276e-05
cri_tvla_2;500;gauss;168;9.690304153807473e-05
dlla9;500;gauss;168;2.4469496393384705e-06
dlla2;500;gauss;168;0.025051229866221547
cri_tvla_1;500;gauss;176;3.279937185420022e-05
cri_tvla_2;500;gauss;176;1.659764634912895e-05
dlla9;500;gauss;176;1.4378209834232929e-06
dlla2;500;gauss;176;0.025051229866221547
cri_tvla_1;500;gauss;184;2.4729270778139853e-05
cri_tvla_2;500;gauss;184;1.8319159220479414e-05
dlla9;500;gauss;184;2.9904355038970876e-07
dlla2;500;gauss;184;0.4300250329542905
cri_tvla_1;500;gauss;192;2.1434115057784133e-05
cri_tvla_2;500;gauss;192;7.68600013305977e-05
dlla9;500;gauss;192;1.235166085197471e-07
dlla2;500;gauss;192;0.025051229866221547
cri_tvla_1;500;gauss;200;5.99010382463934e-05
cri_tvla_2;500;gauss;200;4.063116569154672e-05
dlla9;500;gauss;200;3.895005071864844e-05
dlla2;500;gauss;200;0.4300250329542905
cri_tvla_1;500;gauss;208;8.010867004282187e-05
cri_tvla_2;500;gauss;208;1.7130400964613695e-05
dlla9;500;gauss;208;3.090708334254888e-07
dlla2;500;gauss;208;0.0035001833457499743
cri_tvla_1;500;gauss;216;2.4065390976293588e-05
cri_tvla_2;500;gauss;216;2.0528620328039624e-06
dlla9;500;gauss;216;1.7127681376296331e-06
dlla2;500;gauss;216;0.18854279373772442
cri_tvla_1;500;gauss;224;2.1576829319594496e-06
cri_tvla_2;500;gauss;224;0.00029903229234927626
dlla9;500;gauss;224;0.0001613529583691172
dlla2;500;gauss;224;0.025051229866221547
cri_tvla_1;500;gauss;232;9.515067574625029e-05
cri_tvla_2;500;gauss;232;0.00016287090113419454
dlla9;500;gauss;232;0.004431908296282181
dlla2;500;gauss;232;0.5699749670457095
cri_tvla_1;500;gauss;240;5.2209256772743924e-05
cri_tvla_2;500;gauss;240;7.80214988496309e-06
dlla9;500;gauss;240;0.008583271541129082
dlla2;500;gauss;240;0.055092082591727376
cri_tvla_1;500;gauss;248;0.00015682648426857873
cri_tvla_2;500;gauss;248;4.968254665611586e-05
dlla9;500;gauss;248;0.0005535540791107602
dlla2;500;gauss;248;0.7016925520729274
cri_tvla_1;500;gauss;256;0.0002710773479027591
cri_tvla_2;500;gauss;256;4.607334587142634e-05
dlla9;500;gauss;256;0.624303717360446
dlla2;500;gauss;256;0.025051229866221547
cri_tvla_1;500;gauss;264;0.00042484023458770967
cri_tvla_2;500;gauss;264;0.00013859797044459956
dlla9;500;gauss;264;5.552582281274033e-07
dlla2;500;gauss;264;0.055092082591727376
cri_tvla_1;500;gauss;272;7.237413408014677e-05
cri_tvla_2;500;gauss;272;2.8158765608618248e-05
dlla9;500;gauss;272;0.05710092680687982
dlla2;500;gauss;272;0.5699749670457095
cri_tvla_1;500;gauss;280;0.0005856862693340858
cri_tvla_2;500;gauss;280;2.9010716543709207e-06
dlla9;500;gauss;280;0.9525314527965275
dlla2;500;gauss;280;0.29830744792707264
cri_tvla_1;500;gauss;288;0.00022225158270439236
cri_tvla_2;500;gauss;288;6.892696070524975e-05
dlla9;500;gauss;288;1.3298875447832143e-09
dlla2;500;gauss;288;0.18854279373772442
cri_tvla_1;500;gauss;296;4.303594155961183e-05
cri_tvla_2;500;gauss;296;8.113167681721244e-05
