method;pollution;param;p
dlla_wegener;gauss;2.5;0.007488909335178084
tvla_t_1;gauss;2.6;0.01898420206376945
tvla_t_2;gauss;2.6;0.005942502432537496
dlla_open;gauss;2.6;1.0193956038447196e-07
dlla_wegener;gauss;2.6;0.00017622574034056827
tvla_t_1;gauss;2.7;0.027548721964174232
tvla_t_2;gauss;2.7;0.01003258524180514
dlla_open;gauss;2.7;0.0001942904122567578
dlla_wegener;gauss;2.7;0.02866968926257545
tvla_t_1;gauss;2.8000000000000003;0.011421596165098689
tvla_t_2;gauss;2.8000000000000003;0.012487904458348223
dlla_open;gauss;2.8000000000000003;3.081667109395416e-08
dlla_wegener;gauss;2.8000000000000003;0.004869343420276532
tvla_t_1;gauss;2.9000000000000004;0.009375120834837648
tvla_t_2;gauss;2.9000000000000004;0.02358531633719713
dlla_open;gauss;2.9000000000000004;0.0013839081807819696
dlla_wegener;gauss;2.9000000000000004;0.0024536406426705743
tvla_t_1;gauss;3.0;0.016860682060438736
tvla_t_2;gauss;3.0;0.005620486973686913
dlla_open;gauss;3.0;6.793756374940826e-08
dlla_wegener;gauss;3.0;0.0005392040428601056
tvla_t_1;gauss;3.1;0.01830607787996332
tvla_t_2;gauss;3.1;0.011317275247275401
dlla_open;gauss;3.1;0.001129268812533149
dlla_wegener;gauss;3.1;0.016635381483503804
tvla_t_1;gauss;3.2;0.010855339709865169
tvla_t_2;gauss;3.2;0.02371087344516586
dlla_open;gauss;3.2;1.707832487863442e-06
dlla_wegener;gauss;3.2;0.02403532146075321
tvla_t_1;gauss;3.3000000000000003;0.019418279824696724
tvla_t_2;gauss;3.3000000000000003;0.007887661883837603
dlla_open;gauss;3.3000000000000003;4.9796021682895695e-05
dlla_wegener;gauss;3.3000000000000003;0.034024197632878846
tvla_t_1;gauss;3.4000000000000004;0.039735873968788325
tvla_t_2;gauss;3.4000000000000004;0.052145558849141634
dlla_open;gauss;3.4000000000000004;0.00444382779687722
dlla_wegener;gauss;3.4000000000000004;0.013733042089978564
tvla_t_1;gauss;3.5;0.012130857398255939
tvla_t_2;gauss;3.5;0.03203136052301354
dlla_open;gauss;3.5;0.00010854286371776771
dlla_wegener;gauss;3.5;0.14357370128704078
tvla_t_1;gauss;3.6;0.013161887816834838
tvla_t_2;gauss;3.6;0.02571589457985422
dlla_open;gauss;3.6;0.0029238297477555443
dlla_wegener;gauss;3.6;0.38052038024011203
tvla_t_1;gauss;3.7;0.04557162803840494
tvla_t_2;gauss;3.7;0.006221438188972835
dlla_open;gauss;3.7;0.009449571712950638
dlla_wegener;gauss;3.7;0.0024536406426705743
tvla_t_1;gauss;3.8000000000000003;0.03628017965505652
tvla_t_2;gauss;3.8000000000000003;0.014671988699159647
dlla_open;gauss;3.8000000000000003;2.042961932025577e-05
dlla_wegener;gauss;3.8000000000000003;0.02004734827573107
tvla_t_1;gauss;3.9000000000000004;0.00950132653751561
tvla_t_2;gauss;3.9000000000000004;0.027661811722372084
dlla_open;gauss;3.9000000000000004;0.00011681850169112714
dlla_wegener;gauss;3.9000000000000004;0.0024536406426705743
tvla_t_1;gauss;4.0;0.03009967489483632
tvla_t_2;gauss;4.0;0.038100852287088344
dlla_open;gauss;4.0;0.13127925919981487
dlla_wegener;gauss;4.0;0.1270538329604073
tvla_t_1;gauss;4.1000000000000005;0.034395517754101344
tvla_t_2;gauss;4.1000000000000005;0.029335073471731175
dlla_open;gauss;4.1000000000000005;0.018066058633827452
dlla_wegener;gauss;4.1000000000000005;0.38052038024011203
tvla_t_1;gauss;4.2;0.011881207917175094
tvla_t_2;gauss;4.2;0.0073679382238349645
dlla_open;gauss;4.2;0.026994181730004115
dlla_wegener;gauss;4.2;0.439570916729037
tvla_t_1;gauss;4.3;0.014946457448464363
tvla_t_2;gauss;4.3;0.021268980943221546
dlla_open;gauss;4.3;0.0448668559143467
dlla_wegener;gauss;4.3;0.055177400990157166
tvla_t_1;gauss;4.4;0.012123324015670808
tvla_t_2;gauss;4.4;0.020043517916128968
dlla_open;gauss;4.4;2.716368621282829e-05
dlla_wegener;gauss;4.4;0.034024197632878846
tvla_t_1;gauss;4.5;0.0075779192875936935
tvla_t_2;gauss;4.5;0.05271873418907624
dlla_open;gauss;4.5;0.0012098830646755114
dlla_wegener;gauss;4.5;0.14357370128704078
tvla_t_1;gauss;4.6000000000000005;0.015811445440007083
tvla_t_2;gauss;4.6000000000000005;0.04604221860425816
dlla_open;gauss;4.6000000000000005;0.00011485926253633828
dlla_wegener;gauss;4.6000000000000005;0.2014889952268754
tvla_t_1;gauss;4.7;0.036932117233284927
tvla_t_2;gauss;4.7;0.03793334021713336
dlla_open;gauss;4.7;0.00012077781877279295
dlla_wegener;gauss;4.7;0.047200174486128746
tvla_t_1;gauss;4.800000000000001;0.015270375261820157
tvla_t_2;gauss;4.800000000000001;0.03368727655023608
dlla_open;gauss;4.800000000000001;0.0036482900522523324
dlla_wegener;gauss;4.800000000000001;0.02004734827573107
tvla_t_1;gauss;4.9;0.040165590901668546
tvla_t_2;gauss;4.9;0.029310872204381864
dlla_open;gauss;4.9;0.0781693075726071
dlla_wegener;gauss;4.9;0.004869343420276532
tvla_t_1;gauss;5.0;0.021962037884698835
tvla_t_2;gauss;5.0;0.018958976983296162
dlla_open;gauss;5.0;0.006722547145854304
dlla_wegener;gauss;5.0;0.09809443413738511
tvla_t_1;gauss;0.0;0.04018152352954024
tvla_t_2;gauss;0.0;0.03225402085955425
dlla_open;gauss;0.0;2.4029400191092135e-18
dlla_wegener;gauss;0.0;1.3918174738821614e-10
tvla_t_1;gauss;0.1;0.029327569262615313
tvla_t_2;gauss;0.1;0.026250996397487954
dlla_open;gauss;0.1;3.747216104766345e-11
dlla_wegener;gauss;0.1;1.7537141102941036e-07
tvla_t_1;gauss;0.2;0.0059720258639730265
tvla_t_2;gauss;0.2;0.011922217814115245
dlla_open;gauss;0.2;1.2804629061839868e-13
dlla_wegener;gauss;0.2;1.0331608424620206e-05
tvla_t_1;gauss;0.30000000000000004;0.041982022360824024
tvla_t_2;gauss;0.30000000000000004;0.02852495561683693
dlla_open;gauss;0.30000000000000004;4.124115193539048e-15
dlla_wegener;gauss;0.30000000000000004;5.923998297804943e-10
tvla_t_1;gauss;0.4;0.024267814726960435
tvla_t_2;gauss;0.4;0.02930941025388115
dlla_open;gauss;0.4;2.0706536439145676e-14
dlla_wegener;gauss;0.4;2.016822685661071e-05
tvla_t_1;gauss;0.5;0.032254127655059694
tvla_t_2;gauss;0.5;0.023045466662283725
dlla_open;gauss;0.5;4.864164083583061e-13
dlla_wegener;gauss;0.5;0.00017622574034056827
tvla_t_1;gauss;0.6000000000000001;0.027633592164318557
tvla_t_2;gauss;0.6000000000000001;0.017732311421945895
dlla_open;gauss;0.6000000000000001;5.670331005683543e-13
