,$\mu_{1}$,$\mu_{2}$,$\mu_{3}$
89,0.5285046938669875,0.8136057253218139,0.6015314781993275
90,0.46508396782433326,0.8269465231210191,0.5420288439518813
91,0.46508396782433326,0.8269465231210191,0.5420288439518813
92,0.6315955291908624,0.6524293032732603,0.5512357642615435
93,0.6315955291908624,0.6524293032732603,0.5512357642615435
94,0.7208031517990076,0.702120200033154,0.5478595499844927
95,0.7208031517990076,0.702120200033154,0.5478595499844927
96,0.8132621269805101,0.9263468559633292,0.5222915838397292
97,0.8132621269805101,0.9263468559633292,0.5222915838397292
98,0.9065322443241641,0.7635070143180281,0.5422279746935681
99,0.9065322443241641,0.7635070143180281,0.5422279746935681
100,0.9092035503676853,0.8017591336892096,0.5694777643127678
101,0.9092035503676853,0.8017591336892096,0.5694777643127678
102,1.0,0.7158079711865528,0.5213632038237068
103,1.0,0.7158079711865528,0.5213632038237068
104,0.9103648794517867,0.7237278467827202,0.5202125641603164
105,0.9103648794517867,0.7237278467827202,0.5202125641603164
106,0.7386896250381764,0.7144103990542359,0.5260292101197834
107,0.7386896250381764,0.7144103990542359,0.5260292101197834
108,0.912556810654318,0.752775518457585,0.5216224995374719
109,0.912556810654318,0.752775518457585,0.5216224995374719
110,0.9125575415332685,0.8874251797704366,0.49967952939828175
111,0.9125575415332685,0.8874251797704366,0.49967952939828175
112,0.914699759986292,0.9115368732013737,0.4675463699606067
113,0.914699759986292,0.9115368732013737,0.4675463699606067
114,0.8351374521218412,0.9370695355670308,0.43766460147357333
115,0.8351374521218412,0.9370695355670308,0.43766460147357333
116,0.9175522429382696,0.9340065673184321,0.4472211576595022
117,0.9175522429382696,0.9340065673184321,0.4472211576595022
118,0.9183619195016661,0.976697232461015,0.4504595185575697
119,0.9183619195016661,0.976697232461015,0.4504595185575697
120,0.8383252545474852,0.9943935005919994,0.4360192468137942
121,0.8383252545474852,0.9943935005919994,0.4360192468137942
122,0.8397793266518332,0.9184719926657774,0.4547923232749612
123,0.8397793266518332,0.9184719926657774,0.4547923232749612
124,0.8397811781894473,0.9113976541682266,0.45634282803956805
125,0.8397811781894473,0.9113976541682266,0.45634282803956805
126,0.8397829703145042,0.72552998656885,0.4667475364549145
127,0.8397829703145042,0.72552998656885,0.4667475364549145
128,0.8415535282058861,0.5729550160030737,0.46203734001279995
129,0.8415535282058861,0.5729550160030737,0.46203734001279995
130,0.6946700558455386,0.6272104467928127,0.47971573885694796
131,0.6946700558455386,0.6272104467928127,0.47971573885694796
132,0.6946733700262767,0.7235584241102391,0.47781933113581443
133,0.6946733700262767,0.7235584241102391,0.47781933113581443
134,0.5022717643913387,0.6184407079515897,0.4911070705982875
135,0.5022717643913387,0.6184407079515897,0.4911070705982875
136,0.5022759449907397,0.7424150479737444,0.5091881020340534
