,DL-LA 9-class,DL-LA Wegener,"TVLA $t$-test, $\mu_1$",TVLA $\rho$-test
202,1.1251715638234156e-46,6.421448800727041e-35,6.255190925788398e-06,1.9518869606340725e-05
203,1.1251715638234156e-46,3.573795426340609e-35,1.5186372542556591e-05,4.649280359317662e-05
204,1.0305609769976345e-45,1.9878821190365074e-35,4.192047724993987e-06,1.8834085680446695e-05
205,1.0305609769976345e-45,1.1051431206128654e-35,8.862787127101646e-06,3.767507330937209e-05
206,2.198205343503793e-46,6.679164891190788e-36,6.907663600356167e-06,3.159479277325794e-05
207,2.198205343503793e-46,3.708127610069663e-36,2.3280661552105003e-06,1.6613659900699126e-05
208,4.1681461710396033e-47,2.0576044654093796e-36,4.945065581369874e-06,2.8111823542634555e-05
209,4.1681461710396033e-47,1.964693929814515e-36,5.544253764021684e-06,3.0208120360732028e-05
210,1.8706183099432032e-47,1.0898498881712333e-36,6.536676531551657e-06,2.9765878731697633e-05
211,1.8706183099432032e-47,6.04250273868883e-37,6.222481454552718e-06,2.492604668541216e-05
212,5.014504295593737e-48,3.348478939193146e-37,2.8164663257079897e-06,1.3217860425744123e-05
213,5.014504295593737e-48,1.9391246578470818e-37,7.3541552125731495e-06,2.1779865907887564e-05
214,1.8799986850170945e-48,1.0733084972429798e-37,8.530870494486995e-06,2.7692421882753536e-05
215,1.8799986850170945e-48,5.937872582589495e-38,6.8696391765068985e-06,2.9241493332152215e-05
216,5.888323106043027e-49,1.6421496206313631e-37,4.389893915903679e-06,2.2310775505448908e-05
217,5.888323106043027e-49,9.117373499157245e-38,1.7524503072682469e-06,9.435341349076941e-06
218,1.0668296265605264e-49,5.059543608231515e-38,4.650973656707683e-06,1.7359814640704928e-05
219,1.0668296265605264e-49,2.806335207526959e-38,6.521165241874655e-06,1.6097723250596347e-05
220,1.8411821644144567e-50,1.5558093250535466e-38,7.817500543484309e-06,1.5001821016204626e-05
221,1.8411821644144567e-50,8.621121625892137e-39,5.881859782071057e-06,1.2233881648493466e-05
222,2.5080166483612636e-51,4.774893390236071e-39,1.670351672613756e-06,6.703965685594503e-06
223,2.5080166483612636e-51,4.566128885843516e-39,3.2102191808004714e-06,1.2133348967678177e-05
224,9.010314104105314e-50,2.529389661484182e-39,3.271928359448264e-06,1.3430350059835535e-05
225,9.010314104105314e-50,1.3998450838069408e-39,3.469610810568884e-06,1.4738186537316145e-05
226,1.4068821917233616e-50,7.743585883615559e-40,2.7006634110625866e-06,1.4618763088809248e-05
227,1.4068821917233616e-50,4.281574723160493e-40,1.1545643808090553e-06,6.846380329019611e-06
228,2.380070641451495e-51,2.3662807394106198e-40,1.7556651054273043e-06,1.0672851660581043e-05
229,2.380070641451495e-51,1.3071705804447302e-40,1.7158657637720953e-06,1.2337269727966488e-05
230,3.564406301471012e-52,7.217769874428135e-41,1.8803631127156957e-06,1.1975736988724081e-05
231,3.564406301471012e-52,3.9836433163021467e-41,1.9514501315367727e-06,1.0589414732468787e-05
232,1.6714765544211142e-50,1.074936521820833e-40,5.832610398535056e-07,5.388756091832542e-06
233,1.6714765544211142e-50,5.953811645325995e-41,1.625314691584718e-06,9.644154017975429e-06
234,2.703573071478657e-51,3.3253542305079453e-41,1.5688419670145834e-06,1.1210026979546441e-05
235,2.703573071478657e-51,1.996671829172e-41,1.3517019546158177e-06,1.0337956622179808e-05
236,1.2651214091840574e-51,1.1040392206529475e-41,1.1648470860182626e-06,8.765923776003949e-06
237,1.2651214091840574e-51,6.101993536466774e-42,3.960903777153707e-07,4.042772548758294e-06
238,1.800538258656112e-51,3.371089531300735e-42,1.1751139552757155e-06,7.291032414337985e-06
239,1.800538258656112e-51,1.8615803697732646e-42,1.2586409490460105e-06,6.918741322865386e-06
240,3.0298403460688258e-52,1.0275672261639259e-42,1.4219019603306016e-06,6.481618139576902e-06
241,3.0298403460688258e-52,5.669598804692775e-43,1.2358449846699309e-06,5.546008086282455e-06
242,4.649432708749813e-53,3.127086291446642e-43,3.8116664007153347e-07,2.111197329029576e-06
