method;traces;pollution;param;p
cri_tvla_2;300000;gauss;1;6.985899331634192e-39
dlla9;300000;gauss;1;0.0
dlla2;300000;gauss;1;0.0
cri_tvla_1;300000;gauss;2;0.0006905916751084003
cri_tvla_2;300000;gauss;2;7.186613920928311e-36
dlla9;300000;gauss;2;7.512098268298975e-254
dlla2;300000;gauss;2;2.487515910848266e-230
cri_tvla_1;300000;gauss;3;0.003737107555320622
cri_tvla_2;300000;gauss;3;8.826024940951173e-29
dlla9;300000;gauss;3;2.3669414855891067e-193
dlla2;300000;gauss;3;1.4900220891204648e-107
cri_tvla_1;300000;gauss;4;0.0005284269283211808
cri_tvla_2;300000;gauss;4;3.801153025946613e-20
dlla9;300000;gauss;4;3.1223293251596294e-106
dlla2;300000;gauss;4;2.573961407266753e-72
cri_tvla_1;300000;gauss;5;0.004272020074095009
cri_tvla_2;300000;gauss;5;5.565331998470869e-15
dlla9;300000;gauss;5;7.06433890547625e-77
dlla2;300000;gauss;5;3.36126851460776e-68
cri_tvla_1;300000;gauss;6;0.013047651466785931
cri_tvla_2;300000;gauss;6;1.893999760974195e-10
dlla9;300000;gauss;6;5.7106715360108825e-40
dlla2;300000;gauss;6;4.533392513688365e-43
cri_tvla_1;300000;gauss;7;0.0012664097940488595
cri_tvla_2;300000;gauss;7;6.968700376187382e-08
dlla9;300000;gauss;7;3.5632749076847903e-16
dlla2;300000;gauss;7;7.329377543466364e-20
cri_tvla_1;300000;gauss;8;0.0025894903109697364
cri_tvla_2;300000;gauss;8;5.953236735350002e-05
dlla9;300000;gauss;8;0.8915042345722815
dlla2;300000;gauss;8;1.7522216798374444e-13
cri_tvla_1;300000;gauss;9;0.0008010071575315457
cri_tvla_2;300000;gauss;9;0.00023104266922710165
dlla9;300000;gauss;9;0.023872932743322223
dlla2;300000;gauss;9;0.0002868512874565557
cri_tvla_1;300000;gauss;10;0.00819998500342334
cri_tvla_2;300000;gauss;10;6.925676319834199e-06
dlla9;300000;gauss;10;0.03968771149464195
dlla2;300000;gauss;10;4.181146216401348e-10
cri_tvla_1;300000;gauss;11;0.00096197486592797
cri_tvla_2;300000;gauss;11;1.739364058484022e-05
dlla9;300000;gauss;11;0.450266964161541
dlla2;300000;gauss;11;6.611510013611526e-05
cri_tvla_1;300000;gauss;12;0.0018580622238215812
cri_tvla_2;300000;gauss;12;0.0005984587470637702
dlla9;300000;gauss;12;0.4376395077799168
dlla2;300000;gauss;12;0.00010025975848284598
cri_tvla_1;300000;gauss;13;0.0063273309053419186
cri_tvla_2;300000;gauss;13;0.0034740829303615732
dlla9;300000;gauss;13;0.11222313486793217
dlla2;300000;gauss;13;0.6584377915394583
cri_tvla_1;300000;gauss;14;0.006821250209177674
cri_tvla_2;300000;gauss;14;0.0003500936059307201
dlla9;300000;gauss;14;0.47309635536208616
dlla2;300000;gauss;14;0.11605867079744708
cri_tvla_1;300000;gauss;15;0.003964776692862694
cri_tvla_2;300000;gauss;15;0.0005676469764252297
dlla9;300000;gauss;15;0.6884419839253231
dlla2;300000;gauss;15;0.3636091137542866
cri_tvla_1;300000;gauss;16;0.0070762612466663925
cri_tvla_2;300000;gauss;16;0.007278147285923834
dlla9;300000;gauss;16;0.7491848608203222
dlla2;300000;gauss;16;0.0932349525730119
cri_tvla_1;300000;gauss;17;0.003894070142592591
cri_tvla_2;300000;gauss;17;0.0050590570749204705
dlla9;300000;gauss;17;0.7802139025446798
dlla2;300000;gauss;17;0.10087827088902773
cri_tvla_1;300000;gauss;18;0.006124320595299257
cri_tvla_2;300000;gauss;18;0.001498976400726454
dlla9;300000;gauss;18;0.5001160299295944
dlla2;300000;gauss;18;0.3946623529007122
cri_tvla_1;300000;gauss;19;0.001428480235703091
cri_tvla_2;300000;gauss;19;0.007717133812920025
dlla9;300000;gauss;19;0.6303180063341173
dlla2;300000;gauss;19;0.27882742702002916
cri_tvla_1;300000;gauss;20;0.0029077614478286344
cri_tvla_2;300000;gauss;20;0.00103930056011716
dlla9;300000;gauss;20;0.07069108795423051
dlla2;300000;gauss;20;0.17105601582437258
cri_tvla_1;300000;gauss;21;0.007519699011690861
cri_tvla_2;300000;gauss;21;0.001030496357700017
dlla9;300000;gauss;21;0.7288234350195579
dlla2;300000;gauss;21;0.08602824965236772
cri_tvla_1;300000;gauss;22;0.0005745377020197621
cri_tvla_2;300000;gauss;22;0.005514157324572835
dlla9;300000;gauss;22;0.7258825132522424
dlla2;300000;gauss;22;0.019897991089389534
cri_tvla_1;300000;gauss;23;0.0038285204365570077
cri_tvla_2;300000;gauss;23;0.0007069241253263446
dlla9;300000;gauss;23;0.29378631104090813
dlla2;300000;gauss;23;0.04673756598402486
cri_tvla_1;300000;gauss;24;0.007116790917207826
cri_tvla_2;300000;gauss;24;0.001627974692253509
dlla9;300000;gauss;24;0.7814968976547098
dlla2;300000;gauss;24;0.8540371898696375
cri_tvla_1;300000;gauss;25;0.0007409738494771741
cri_tvla_2;300000;gauss;25;0.003975340805499078
dlla9;300000;gauss;25;0.12966065745717462
dlla2;300000;gauss;25;0.4264000254778071
cri_tvla_1;300000;gauss;26;0.005848890277362005
cri_tvla_2;300000;gauss;26;0.0039042237758306316
dlla9;300000;gauss;26;0.6953332097114414
dlla2;300000;gauss;26;0.9368562434497602
cri_tvla_1;300000;gauss;27;0.0036856260070717577
cri_tvla_2;300000;gauss;27;0.0015836722646538133
dlla9;300000;gauss;27;0.9529401695600657
dlla2;300000;gauss;27;0.5029608739097886
cri_tvla_1;300000;gauss;28;0.0026941629545498124
cri_tvla_2;300000;gauss;28;0.0001731072714675691
dlla9;300000;gauss;28;0.3929311046738535
dlla2;300000;gauss;28;0.3095007942840323
cri_tvla_1;300000;gauss;29;0.0010477587727639394
cri_tvla_2;300000;gauss;29;0.0006409830853108376
dlla9;300000;gauss;29;0.0539566529564886
dlla2;300000;gauss;29;0.4970391260902114
cri_tvla_1;300000;gauss;30;0.004265746853865685
cri_tvla_2;300000;gauss;30;0.0018291915827144084
dlla9;300000;gauss;30;0.44139814976518266
dlla2;300000;gauss;30;0.27882742702002916
cri_tvla_1;300000;gauss;31;0.0012028189068595144
cri_tvla_2;300000;gauss;31;0.0035356813085838596
dlla9;300000;gauss;31;0.5872727119265669
dlla2;300000;gauss;31;0.3388421453991485
cri_tvla_1;300000;gauss;32;0.0004025462683235759
cri_tvla_2;300000;gauss;32;0.0017973878409541387
dlla9;300000;gauss;32;0.37021272288489515
dlla2;300000;gauss;32;0.6638695399968231
cri_tvla_1;300000;gauss;33;0.0003335878404971529
cri_tvla_2;300000;gauss;33;0.007897742400576656
dlla9;300000;gauss;33;0.532104861010279
dlla2;300000;gauss;33;0.03866379086999235
cri_tvla_1;300000;gauss;34;0.007147244593503659
cri_tvla_2;300000;gauss;34;0.0033058652304949793
dlla9;300000;gauss;34;0.4507962099537868
dlla2;300000;gauss;34;0.7261373341271375
cri_tvla_1;300000;gauss;35;0.0021901836783027756
cri_tvla_2;300000;gauss;35;0.0012741608153837441
dlla9;300000;gauss;35;0.20208891407502996
dlla2;300000;gauss;35;0.24736256622506575
cri_tvla_1;300000;gauss;36;0.001584158231763297
cri_tvla_2;300000;gauss;36;0.0012745191130489897
dlla9;300000;gauss;36;0.39205879864823223
dlla2;300000;gauss;36;0.10087827088902773
cri_tvla_1;300000;gauss;37;0.0073164029670086195
cri_tvla_2;300000;gauss;37;0.00022861914851975517
dlla9;300000;gauss;37;0.8001146930417355
dlla2;300000;gauss;37;0.815419829775166
cri_tvla_1;300000;gauss;38;0.0012882275349684006
cri_tvla_2;300000;gauss;38;0.000745672962343418
dlla9;300000;gauss;38;0.21026384747060567
dlla2;300000;gauss;38;0.5177595367349392
cri_tvla_1;300000;gauss;39;0.007479835017570341
cri_tvla_2;300000;gauss;39;0.0038224198323979063
dlla9;300000;gauss;39;0.7883094867674376
dlla2;300000;gauss;39;0.03565357212822429
cri_tvla_1;300000;gauss;40;0.002356778075843924
cri_tvla_2;300000;gauss;40;0.0015554398809491555
dlla9;300000;gauss;40;0.14974177408940686
dlla2;300000;gauss;40;0.608191866820434
cri_tvla_1;300000;gauss;0;0.0015551435649712906
cri_tvla_2;300000;gauss;0;5.138937882852625e-39
dlla9;300000;gauss;0;0.0
dlla2;300000;gauss;0;0.0
cri_tvla_1;300000;gauss;1;0.005396327178155436
cri_tvla_2;300000;gauss;1;3.551588328019282e-16
dlla9;300000;gauss;1;0.0
dlla2;300000;gauss;1;0.0
cri_tvla_1;300000;gauss;2;0.0006905916751084003
cri_tvla_2;300000;gauss;2;3.721347166133682e-18
dlla9;300000;gauss;2;6.628661175944044e-305
dlla2;300000;gauss;2;5.810193222188194e-197
cri_tvla_1;300000;gauss;3;0.0026403458247613336
cri_tvla_2;300000;gauss;3;6.1524809784042026e-27
dlla9;300000;gauss;3;7.298179650547734e-203
dlla2;300000;gauss;3;2.2213017883691906e-132
cri_tvla_1;300000;gauss;4;0.0003968061255202204
cri_tvla_2;300000;gauss;4;6.134960865453052e-14
dlla9;300000;gauss;4;2.0954653788617661e-122
dlla2;300000;gauss;4;4.578590654881161e-54
cri_tvla_1;300000;gauss;5;0.00619218128313287
cri_tvla_2;300000;gauss;5;2.6643614542124267e-14
dlla9;300000;gauss;5;1.6370222427404504e-62
dlla2;300000;gauss;5;4.299269863349693e-49
cri_tvla_1;300000;gauss;6;0.0018423424569495876
cri_tvla_2;300000;gauss;6;4.251737202186992e-11
dlla9;300000;gauss;6;5.946470082379996e-21
dlla2;300000;gauss;6;3.872653738691361e-45
cri_tvla_1;300000;gauss;7;0.0012664097940488595
cri_tvla_2;300000;gauss;7;2.382977266440262e-09
dlla9;300000;gauss;7;4.912571131356617e-05
dlla2;300000;gauss;7;1.1268325192901027e-13
