method;p
tvla_rho;0.029455135032861124
dlla_open;0.1815303625290358
dlla_wegener;0.31913588320912956
tvla_t_1;0.037188715360518515
tvla_t_2;0.02967662726667494
tvla_rho;0.020999213846052855
dlla_open;0.21605802002387345
dlla_wegener;0.5
tvla_t_1;0.03673627718336585
tvla_t_2;0.012110841157114978
tvla_rho;0.03514153561404143
dlla_open;0.6652808731973485
dlla_wegener;0.6813240558830315
tvla_t_1;0.006226797741750435
tvla_t_2;0.02236647294401598
tvla_rho;0.022227245706237797
dlla_open;0.09301039715092209
dlla_wegener;0.5216092141024451
tvla_t_1;0.03594833486555105
tvla_t_2;0.017299549501350375
tvla_rho;0.07018689023747005
dlla_open;0.6274067905525821
dlla_wegener;0.7019436671383381
tvla_t_1;0.019039237478734865
tvla_t_2;0.03271535441250938
tvla_rho;0.019019970147895915
dlla_open;0.2263024662771228
dlla_wegener;0.5628164694185541
tvla_t_1;0.03475700506720891
tvla_t_2;0.015442825469112475
tvla_rho;0.0107267790942851
dlla_open;0.4020633228157263
dlla_wegener;0.0643850083220184
tvla_t_1;0.0038265197819953908
tvla_t_2;0.027085511304168804
tvla_rho;0.047766040543776755
dlla_open;0.18294577668590836
dlla_wegener;0.033570409067276055
tvla_t_1;0.019385141480689302
tvla_t_2;0.009477765720342594
tvla_rho;0.04591904316697848
dlla_open;0.5958895762260086
dlla_wegener;0.7863685716271468
tvla_t_1;0.01873920677587663
tvla_t_2;0.00771089181999432
tvla_rho;0.042006928626307394
dlla_open;0.4965786487003754
dlla_wegener;0.06372860979211854
tvla_t_1;0.006882841623940116
tvla_t_2;0.014505137362996507
tvla_rho;0.02059229316685851
dlla_open;0.7076934507964071
dlla_wegener;0.37481705756788763
tvla_t_1;0.022050218099561304
tvla_t_2;0.03370728592975964
tvla_rho;0.024792852458925374
dlla_open;0.9844835279280109
dlla_wegener;0.9984458439584498
tvla_t_1;0.023907887619405262
tvla_t_2;0.046008844464998463
tvla_rho;0.02763890485813758
dlla_open;0.2434706430514886
dlla_wegener;0.21314470143671338
tvla_t_1;0.03251734573187862
tvla_t_2;0.01181866292713812
tvla_rho;0.040737745497131606
dlla_open;0.9291778721279779
dlla_wegener;0.8400115739955842
tvla_t_1;0.014834237962811359
tvla_t_2;0.03624542556193267
tvla_rho;0.0054016911573018245
dlla_open;0.9750128505733888
dlla_wegener;0.1196396017250218
tvla_t_1;0.021612470230863934
tvla_t_2;0.045091370348147954
tvla_rho;0.06477425992758934
dlla_open;0.7143872013225934
dlla_wegener;0.9781434023231478
tvla_t_1;0.019077176147951572
tvla_t_2;0.012416886078008364
tvla_rho;0.020387512689842957
dlla_open;0.9803621972375731
dlla_wegener;0.01512057904449124
tvla_t_1;0.04390932671642185
tvla_t_2;0.04717145442447481
tvla_rho;0.040982417383180314
dlla_open;0.8499550628688132
dlla_wegener;0.6024763820307832
tvla_t_1;0.028340387675377006
tvla_t_2;0.032593252065100005
tvla_rho;0.05733524135832657
dlla_open;0.32733125627121973
dlla_wegener;0.7719079097783599
tvla_t_1;0.030925998409182833
tvla_t_2;0.004420713006367329
tvla_rho;0.04017283135083116
dlla_open;0.04963555050793861
dlla_wegener;0.7690809909246812
tvla_t_1;0.04564566143493569
tvla_t_2;0.04004872718485839
tvla_rho;0.025422767559726944
dlla_open;0.6573680840036369
dlla_wegener;0.7728698787165906
tvla_t_1;0.057413629161331844
tvla_t_2;0.02183162167328539
tvla_rho;0.03184112634427905
dlla_open;0.48828561513908086
dlla_wegener;0.19871573384095226
tvla_t_1;0.028061012056290115
tvla_t_2;0.01742411814237691
tvla_rho;0.028755056844161686
dlla_open;0.9050238079486521
dlla_wegener;0.8885774410879319
tvla_t_1;0.029747289176694208
tvla_t_2;0.04909031409487463
tvla_rho;0.03217194048896488
dlla_open;0.29667028000385326
dlla_wegener;0.5418012946109132
tvla_t_1;0.008572884028469762
tvla_t_2;0.007839583198571708
tvla_rho;0.02605181748655161
dlla_open;0.4133560275496029
dlla_wegener;0.4165144468597607
tvla_t_1;0.0056273264044243605
tvla_t_2;0.04590503602373238
tvla_rho;0.004568144443545696
dlla_open;0.47775736755496967
dlla_wegener;0.2956931704573842
tvla_t_1;0.05418956886480046
tvla_t_2;0.024883869406948787
tvla_rho;0.038541261309654296
dlla_open;0.48166632963777467
dlla_wegener;0.8760564398096978
tvla_t_1;0.00964126939906617
tvla_t_2;0.03326881081870921
tvla_rho;0.0055014615541728595
dlla_open;0.5125739040143824
dlla_wegener;0.8979959181896642
tvla_t_1;0.01722741773814151
tvla_t_2;0.017771800605757542
tvla_rho;0.03429959783807157
dlla_open;0.560840680085475
dlla_wegener;0.47904170900794885
tvla_t_1;0.027037308386911693
tvla_t_2;0.054766151163284656
tvla_rho;0.0343681352730989
dlla_open;0.4129863857286259
dlla_wegener;0.6044950649490815
tvla_t_1;0.028942919947094692
tvla_t_2;0.009730189142689374
tvla_rho;0.043441726401479475
dlla_open;0.04926318368579606
dlla_wegener;0.18529811007579616
tvla_t_1;0.03413205133267267
tvla_t_2;0.024940039911994356
tvla_rho;0.028428122568867842
dlla_open;0.20869126749340552
dlla_wegener;0.5417440460680529
tvla_t_1;0.028347562720471512
tvla_t_2;0.03409154871500631
tvla_rho;0.016263374438635125
dlla_open;0.9556713945019042
dlla_wegener;0.4784224168514162
tvla_t_1;0.03400149723251932
tvla_t_2;0.023040862546158614
tvla_rho;0.047086447769893125
dlla_open;0.7410349949952161
dlla_wegener;0.24647119149187646
tvla_t_1;0.04625596529216156
tvla_t_2;0.04870300894138715
tvla_rho;0.06250219691332193
dlla_open;0.44345713453772784
dlla_wegener;0.803958934630925
tvla_t_1;0.03662640303114289
tvla_t_2;0.03706254472486565
tvla_rho;0.044916599253147504
dlla_open;0.9586472925796401
dlla_wegener;0.5212385666553193
tvla_t_1;0.017753848750130596
tvla_t_2;0.014492170360460457
tvla_rho;0.03318085226776302
dlla_open;0.5728119075278619
dlla_wegener;0.7020728168795654
tvla_t_1;0.028426976186502254
tvla_t_2;0.029041541732164982
tvla_rho;0.00696515244680751
dlla_open;0.32503610017427464
dlla_wegener;0.9468327419084751
tvla_t_1;0.011930875617284497
tvla_t_2;0.015592391236665577
tvla_rho;0.01027924301883898
dlla_open;0.5460199712162062
dlla_wegener;0.7836555453740894
tvla_t_1;0.007124791491529217
tvla_t_2;0.02057747424001504
tvla_rho;0.011760377101955655
dlla_open;0.25897724991493903
dlla_wegener;0.666094212414214
tvla_t_1;0.030045564347226498
tvla_t_2;0.022701008534919003
tvla_rho;0.02936743759070315
dlla_open;0.9703091073555955
dlla_wegener;0.5634310145891922
tvla_t_1;0.03477117430835681
tvla_t_2;0.01891573648440415
tvla_rho;0.031682071671269574
dlla_open;0.31599460635994636
dlla_wegener;0.6226117867064478
tvla_t_1;0.007952547977371861
tvla_t_2;0.029406623499238525
tvla_rho;0.010106079756158515
dlla_open;0.09205732446554733
