method;p
tvla_rho;0.014898823144272155
dlla_open;0.31216284574924724
dlla_wegener;0.47888080790377663
tvla_t_1;0.016290517693974906
tvla_t_2;0.030743853391747095
tvla_t_3;0.25088490871727176
tvla_rho;0.0183292172641083
dlla_open;0.7782832570544067
dlla_wegener;0.02318481370771483
tvla_t_1;0.043574727768577494
tvla_t_2;0.08986825949317767
tvla_t_3;0.24489565614583045
tvla_rho;0.03699828996232579
dlla_open;0.46101711455368855
dlla_wegener;0.9183028845984271
tvla_t_1;0.035296613968986326
tvla_t_2;0.021202816482805947
tvla_t_3;0.11416372207637206
tvla_rho;0.027737718575440162
dlla_open;0.6403865383319342
dlla_wegener;0.8201437831422225
tvla_t_1;0.0418479275995162
tvla_t_2;0.023805748229782223
tvla_t_3;0.0896522166238028
tvla_rho;0.020098890407171277
dlla_open;0.7723582927782413
dlla_wegener;0.788992862362918
tvla_t_1;0.04415916729597102
tvla_t_2;0.002185291711797456
tvla_t_3;0.16725428472030066
tvla_rho;0.034312331255555106
dlla_open;0.1918382820573922
dlla_wegener;0.7524826479991467
tvla_t_1;0.012974316540318135
tvla_t_2;0.0049294054561259725
tvla_t_3;0.20215493587654426
tvla_rho;0.043942115246527136
dlla_open;0.6190212841548413
dlla_wegener;0.10136932530602927
tvla_t_1;0.03352698484132582
tvla_t_2;0.020376886866002947
tvla_t_3;0.14138452473011387
tvla_rho;0.01121860582009404
dlla_open;0.7749398370461753
dlla_wegener;0.19920963786176077
tvla_t_1;0.031145059453395022
tvla_t_2;0.02714430340414725
tvla_t_3;0.22859904090119282
tvla_rho;0.024196516223587095
dlla_open;0.017496864358533037
dlla_wegener;0.5632094690187776
tvla_t_1;0.030609601609689015
tvla_t_2;0.011026096492810526
tvla_t_3;0.20759682664768045
tvla_rho;0.02489579109989659
dlla_open;0.003756848607746747
dlla_wegener;0.5420035351670658
tvla_t_1;0.025628866491610183
tvla_t_2;0.03141536370569484
tvla_t_3;0.22135240795937927
tvla_rho;0.03142077547545097
dlla_open;0.6251085857527112
dlla_wegener;0.9034474263365619
tvla_t_1;0.027357646084291695
tvla_t_2;0.036857994576409904
tvla_t_3;0.17218817884617107
tvla_rho;0.022370603476395745
dlla_open;0.08577905687544325
dlla_wegener;0.08947284720244525
tvla_t_1;0.016720788837765302
tvla_t_2;0.02933729151557338
tvla_t_3;0.14231440073060322
tvla_rho;0.027765130607971367
dlla_open;0.47175321279413174
dlla_wegener;0.2634010428096742
tvla_t_1;0.03286433304182176
tvla_t_2;0.015225247020083398
tvla_t_3;0.1646298639455089
tvla_rho;0.03244126293997884
dlla_open;0.062276858430774025
dlla_wegener;0.3559934778986691
tvla_t_1;0.006727457255069211
tvla_t_2;0.023042728584859902
tvla_t_3;0.17641477719290352
tvla_rho;0.027872360530713625
dlla_open;0.8466166859823382
dlla_wegener;0.5833715425847322
tvla_t_1;0.025892205979470645
tvla_t_2;0.04491046292123448
tvla_t_3;0.1870799417772197
tvla_rho;0.028626902834961276
dlla_open;0.9861590692142477
dlla_wegener;0.9031434430991444
tvla_t_1;0.03324540891639231
tvla_t_2;0.03327577188012996
tvla_t_3;0.2104171519288168
tvla_rho;0.02887828654309832
dlla_open;0.10725939976865825
dlla_wegener;0.8463038561858887
tvla_t_1;0.05901316735951305
tvla_t_2;0.031419035651780086
tvla_t_3;0.1586342038901362
tvla_rho;0.06021877567928491
dlla_open;0.4061313294482308
dlla_wegener;0.5
tvla_t_1;0.014666459997360208
tvla_t_2;0.010314967042087002
tvla_t_3;0.17076223123034145
tvla_rho;0.009386030174903137
dlla_open;0.21138431643607325
dlla_wegener;0.6827251649491157
tvla_t_1;0.029280773516625152
tvla_t_2;0.02924276506759597
tvla_t_3;0.19017726740428653
tvla_rho;0.03246073418258111
dlla_open;0.8221440449378847
dlla_wegener;0.21555435755146846
tvla_t_1;0.011770149813169485
tvla_t_2;0.008851327303415917
tvla_t_3;0.20649101088626537
tvla_rho;0.03439835716950901
dlla_open;0.4250657521309329
dlla_wegener;0.8432021625152455
tvla_t_1;0.054405905106739025
tvla_t_2;0.04501790568428823
tvla_t_3;0.17360680232186448
tvla_rho;0.051155796698846956
dlla_open;0.9580772011368444
dlla_wegener;0.5643410780065807
tvla_t_1;0.03312675061676966
tvla_t_2;0.042526100282655056
tvla_t_3;0.24142604633611564
tvla_rho;0.008647129585202418
dlla_open;0.8861044151418769
dlla_wegener;0.8803603982749781
tvla_t_1;0.04714272064087473
tvla_t_2;0.024600141348909987
tvla_t_3;0.11072368656926997
tvla_rho;0.007804209614065805
dlla_open;0.24007071103410163
dlla_wegener;0.14758487976155504
tvla_t_1;0.010344749914326807
tvla_t_2;0.03278960379774207
tvla_t_3;0.16918887915024014
tvla_rho;0.02096939146497312
dlla_open;0.9277421233170058
dlla_wegener;0.4782628566013754
tvla_t_1;0.031037421466009952
tvla_t_2;0.021156595606441536
tvla_t_3;0.2349057752317477
tvla_rho;0.03338884584026358
dlla_open;0.6607044714489432
dlla_wegener;0.45819870538908675
tvla_t_1;0.02829371816266897
tvla_t_2;0.05686303021748022
tvla_t_3;0.10427787845704364
tvla_rho;0.03942677189268817
dlla_open;0.699362605359364
dlla_wegener;0.17088699696069704
tvla_t_1;0.014089756477074238
tvla_t_2;0.00999631705705371
tvla_t_3;0.17872748829181118
tvla_rho;0.012555453160302044
dlla_open;0.2570439673956557
dlla_wegener;0.3551246007063479
tvla_t_1;0.013843750827881987
tvla_t_2;0.06122545801069077
tvla_t_3;0.1174000549015069
tvla_rho;0.057331642007987904
dlla_open;0.7380122782981408
dlla_wegener;0.28090540943560427
tvla_t_1;0.05166463409287791
tvla_t_2;0.03656288187561072
tvla_t_3;0.23337313352977254
tvla_rho;0.026411863161302618
dlla_open;0.25201881282347355
dlla_wegener;0.05376010334167075
tvla_t_1;0.02332694717533348
tvla_t_2;0.041672375362115745
tvla_t_3;0.18570150030781668
tvla_rho;0.007607505916619628
dlla_open;0.7694838544759164
dlla_wegener;0.2142766409877247
tvla_t_1;0.056058525917556036
tvla_t_2;0.036282113657749575
tvla_t_3;0.16425376967587618
tvla_rho;0.005602915760165805
dlla_open;0.8813682121803939
dlla_wegener;0.12491863683329674
tvla_t_1;0.04221180338315612
tvla_t_2;0.03659872230376339
tvla_t_3;0.1468376459422002
tvla_rho;0.03867629352843882
dlla_open;0.4955100196988941
dlla_wegener;0.21395456894269338
tvla_t_1;0.03396371321307019
tvla_t_2;0.04878950955734323
tvla_t_3;0.12776299490735132
tvla_rho;0.04836015425106854
dlla_open;0.38738040095113724
dlla_wegener;0.8246562319760082
tvla_t_1;0.03564216169526399
tvla_t_2;0.029080323594882947
tvla_t_3;0.18298281496442326
tvla_rho;0.04640661281144021
dlla_open;0.25542628930599487
dlla_wegener;0.3955765410640619
tvla_t_1;0.03739896856723596
tvla_t_2;0.014155163337465231
tvla_t_3;0.1351813624113687
tvla_rho;0.03414615528266074
dlla_open;0.549950016029574
dlla_wegener;0.7988381085380807
tvla_t_1;0.05195211785326713
tvla_t_2;0.024237977655766622
tvla_t_3;0.16458926236275614
tvla_rho;0.023342237763610774
dlla_open;0.24291906455291254
dlla_wegener;0.6666587482812871
tvla_t_1;0.020969508376738145
tvla_t_2;0.03273568727327263
tvla_t_3;0.18498108863490118
tvla_rho;0.011792206497335034
dlla_open;0.6632564996654264
dlla_wegener;0.9626117259503033
tvla_t_1;0.027096408354384118
tvla_t_2;0.010313910070289952
tvla_t_3;0.22821659994832008
tvla_rho;0.022609701509383795
dlla_open;0.7466988152981878
dlla_wegener;0.06241122830515673
tvla_t_1;0.008276221494960476
tvla_t_2;0.024561159201594934
tvla_t_3;0.11800627380268543
tvla_rho;0.0013791595757719488
dlla_open;0.4399328487760664
dlla_wegener;0.5423273584446171
