method;pollution;param;ge;sr
sca_hw;desync;90;78.54;0.02
sca_hw;desync;95;48.69;0.07
sca_hw;desync;100;138.5;0.0
sca_hw;desync;105;1.18;0.94
sca_hw;desync;110;118.33;0.02
sca_hw;desync;115;16.15;0.31
sca_hw;desync;120;115.91;0.02
sca_hw;desync;125;120.19;0.01
sca_hw;desync;130;98.18;0.0
sca_hw;desync;135;125.01;0.01
sca_hw;desync;140;126.89;0.01
sca_hw;desync;145;140.54;0.0
sca_hw;desync;150;123.1;0.01
sca_hw;desync;155;142.28;0.0
sca_hw;desync;160;129.47;0.0
sca_hw;desync;165;124.04;0.0
sca_hw;desync;170;132.46;0.0
sca_hw;desync;175;124.72;0.0
sca_hw;desync;180;133.49;0.01
sca_hw;desync;185;144.37;0.0
sca_hw;desync;190;143.45;0.0
sca_hw;desync;195;115.86;0.0
sca_hw;desync;200;134.34;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.04;0.99
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.03;0.99
sca_hw;gauss;42;1.03;0.98
sca_hw;gauss;44;1.44;0.92
sca_hw;gauss;46;1.93;0.85
sca_hw;gauss;48;1.54;0.87
sca_hw;gauss;50;2.76;0.7
sca_hw;gauss;52;3.68;0.72
sca_hw;gauss;54;4.54;0.61
sca_hw;gauss;56;6.62;0.48
sca_hw;gauss;58;6.2;0.54
sca_hw;gauss;60;6.27;0.43
sca_hw;gauss;62;9.95;0.46
sca_hw;gauss;64;17.77;0.28
sca_hw;gauss;66;19.91;0.3
sca_hw;gauss;68;20.27;0.23
sca_hw;gauss;70;21.08;0.31
sca_hw;gauss;72;25.4;0.12
sca_hw;gauss;74;25.33;0.14
sca_hw;gauss;76;21.8;0.23
sca_hw;gauss;78;44.56;0.1
sca_hw;gauss;80;31.57;0.12
sca_hw;gauss;82;36.46;0.09
sca_hw;gauss;84;44.03;0.07
sca_hw;gauss;86;59.7;0.03
sca_hw;gauss;88;50.05;0.06
sca_hw;gauss;90;54.07;0.07
sca_hw;gauss;92;46.51;0.02
sca_hw;gauss;94;53.82;0.05
sca_hw;gauss;96;67.97;0.05
sca_hw;gauss;98;51.16;0.03
sca_hw;gauss;100;53.12;0.01
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;16.25;0.35
sca_hw;desync;90;5.84;0.59
sca_hw;desync;95;1.0;1.0
sca_hw;desync;100;1.0;1.0
sca_hw;desync;105;84.93;0.02
sca_hw;desync;110;96.68;0.03
sca_hw;desync;115;88.31;0.02
sca_hw;desync;120;22.06;0.2
sca_hw;desync;125;48.82;0.01
sca_hw;desync;130;125.81;0.0
sca_hw;desync;135;141.45;0.0
sca_hw;desync;140;138.26;0.01
sca_hw;desync;145;126.47;0.01
sca_hw;desync;150;145.97;0.0
sca_hw;desync;155;132.62;0.0
sca_hw;desync;160;133.26;0.0
sca_hw;desync;165;125.6;0.02
sca_hw;desync;170;116.17;0.01
sca_hw;desync;175;132.54;0.01
sca_hw;desync;180;124.97;0.01
sca_hw;desync;185;134.49;0.01
sca_hw;desync;190;134.91;0.0
sca_hw;desync;195;126.64;0.0
sca_hw;desync;200;126.13;0.02
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.0;1.0
sca_hw;gauss;42;1.04;0.98
sca_hw;gauss;44;1.0;1.0
sca_hw;gauss;46;1.37;0.93
sca_hw;gauss;48;1.14;0.91
sca_hw;gauss;50;3.49;0.68
sca_hw;gauss;52;2.73;0.7
sca_hw;gauss;54;6.02;0.45
sca_hw;gauss;56;6.77;0.55
sca_hw;gauss;58;7.67;0.45
sca_hw;gauss;60;8.54;0.39
sca_hw;gauss;62;10.09;0.41
sca_hw;gauss;64;12.98;0.3
sca_hw;gauss;66;24.17;0.28
sca_hw;gauss;68;20.26;0.31
sca_hw;gauss;70;20.47;0.22
sca_hw;gauss;72;22.56;0.23
sca_hw;gauss;74;31.99;0.1
sca_hw;gauss;76;28.71;0.18
sca_hw;gauss;78;34.36;0.09
sca_hw;gauss;80;36.62;0.13
sca_hw;gauss;82;32.04;0.15
sca_hw;gauss;84;43.89;0.08
sca_hw;gauss;86;40.62;0.09
sca_hw;gauss;88;38.72;0.16
sca_hw;gauss;90;66.02;0.06
sca_hw;gauss;92;48.62;0.05
sca_hw;gauss;94;52.67;0.06
sca_hw;gauss;96;77.24;0.02
sca_hw;gauss;98;54.7;0.04
sca_hw;gauss;100;59.14;0.05
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;2.74;0.73
sca_hw;desync;95;106.47;0.02
sca_hw;desync;100;17.08;0.27
sca_hw;desync;105;5.48;0.54
sca_hw;desync;110;125.65;0.0
sca_hw;desync;115;89.88;0.01
sca_hw;desync;120;102.59;0.01
sca_hw;desync;125;92.91;0.0
sca_hw;desync;130;123.7;0.01
sca_hw;desync;135;133.26;0.0
sca_hw;desync;140;131.42;0.0
sca_hw;desync;145;118.88;0.01
sca_hw;desync;150;125.5;0.0
sca_hw;desync;155;129.52;0.0
sca_hw;desync;160;120.71;0.0
sca_hw;desync;165;136.97;0.0
sca_hw;desync;170;127.78;0.0
sca_hw;desync;175;133.58;0.0
sca_hw;desync;180;133.65;0.02
sca_hw;desync;185;121.64;0.01
sca_hw;desync;190;122.84;0.01
sca_hw;desync;195;126.06;0.0
sca_hw;desync;200;140.65;0.0
sca_hw;gauss;0;1.0;1.0
sca_hw;gauss;2;1.0;1.0
sca_hw;gauss;4;1.0;1.0
sca_hw;gauss;6;1.0;1.0
sca_hw;gauss;8;1.0;1.0
sca_hw;gauss;10;1.0;1.0
sca_hw;gauss;12;1.0;1.0
sca_hw;gauss;14;1.0;1.0
sca_hw;gauss;16;1.0;1.0
sca_hw;gauss;18;1.0;1.0
sca_hw;gauss;20;1.0;1.0
sca_hw;gauss;22;1.0;1.0
sca_hw;gauss;24;1.0;1.0
sca_hw;gauss;26;1.0;1.0
sca_hw;gauss;28;1.0;1.0
sca_hw;gauss;30;1.0;1.0
sca_hw;gauss;32;1.0;1.0
sca_hw;gauss;34;1.0;1.0
sca_hw;gauss;36;1.0;1.0
sca_hw;gauss;38;1.0;1.0
sca_hw;gauss;40;1.02;0.98
sca_hw;gauss;42;1.02;0.99
sca_hw;gauss;44;1.41;0.88
sca_hw;gauss;46;1.41;0.84
sca_hw;gauss;48;1.28;0.87
sca_hw;gauss;50;2.93;0.7
sca_hw;gauss;52;2.49;0.71
sca_hw;gauss;54;3.8;0.72
sca_hw;gauss;56;4.78;0.47
sca_hw;gauss;58;10.68;0.31
sca_hw;gauss;60;13.32;0.25
sca_hw;gauss;62;9.6;0.38
sca_hw;gauss;64;12.84;0.31
sca_hw;gauss;66;17.48;0.27
sca_hw;gauss;68;18.71;0.25
sca_hw;gauss;70;15.83;0.29
sca_hw;gauss;72;27.49;0.13
sca_hw;gauss;74;22.37;0.14
sca_hw;gauss;76;34.61;0.14
sca_hw;gauss;78;31.16;0.15
sca_hw;gauss;80;35.37;0.09
sca_hw;gauss;82;30.05;0.07
sca_hw;gauss;84;59.96;0.07
sca_hw;gauss;86;48.96;0.08
sca_hw;gauss;88;50.29;0.02
sca_hw;gauss;90;39.54;0.07
sca_hw;gauss;92;66.14;0.04
sca_hw;gauss;94;59.06;0.02
sca_hw;gauss;96;52.44;0.05
sca_hw;gauss;98;69.42;0.02
sca_hw;gauss;100;58.1;0.02
sca_hw;desync;0;1.0;1.0
sca_hw;desync;5;1.0;1.0
sca_hw;desync;10;1.0;1.0
sca_hw;desync;15;1.0;1.0
sca_hw;desync;20;1.0;1.0
sca_hw;desync;25;1.0;1.0
sca_hw;desync;30;1.0;1.0
sca_hw;desync;35;1.0;1.0
sca_hw;desync;40;1.0;1.0
sca_hw;desync;45;1.0;1.0
sca_hw;desync;50;1.0;1.0
sca_hw;desync;55;1.0;1.0
sca_hw;desync;60;1.0;1.0
sca_hw;desync;65;1.0;1.0
sca_hw;desync;70;1.0;1.0
sca_hw;desync;75;1.0;1.0
sca_hw;desync;80;1.0;1.0
sca_hw;desync;85;1.0;1.0
sca_hw;desync;90;89.49;0.02
sca_hw;desync;95;2.47;0.72
