method;traces;pollution;param;kr
sca_hw;225000;gauss;38;95.57
sca_hw;225000;gauss;39;56.12
sca_hw;225000;gauss;40;93.09
sca_hw;225000;gauss;0;1.0
sca_hw;225000;gauss;1;1.0
sca_hw;225000;gauss;2;1.0
sca_hw;225000;gauss;3;1.0
sca_hw;225000;gauss;4;1.0
sca_hw;225000;gauss;5;1.01
sca_hw;225000;gauss;6;1.61
sca_hw;225000;gauss;7;7.09
sca_hw;225000;gauss;8;30.51
sca_hw;225000;gauss;9;41.77
sca_hw;225000;gauss;10;50.74
sca_hw;225000;gauss;11;80.34
sca_hw;225000;gauss;12;76.48
sca_hw;225000;gauss;13;68.61
sca_hw;225000;gauss;14;82.87
sca_hw;225000;gauss;15;56.46
sca_hw;225000;gauss;16;94.95
sca_hw;225000;gauss;17;85.82
sca_hw;225000;gauss;18;58.6
sca_hw;225000;gauss;19;60.36
sca_hw;225000;gauss;20;61.05
sca_hw;225000;gauss;21;53.25
sca_hw;225000;gauss;22;53.83
sca_hw;225000;gauss;23;41.03
sca_hw;225000;gauss;24;109.49
sca_hw;225000;gauss;25;127.68
sca_hw;225000;gauss;26;103.44
sca_hw;225000;gauss;27;109.63
sca_hw;225000;gauss;28;92.02
sca_hw;225000;gauss;29;45.39
sca_hw;225000;gauss;30;67.53
sca_hw;225000;gauss;31;94.55
sca_hw;225000;gauss;32;75.64
sca_hw;225000;gauss;33;79.81
sca_hw;225000;gauss;34;91.5
sca_hw;225000;gauss;35;79.56
sca_hw;225000;gauss;36;82.65
sca_hw;225000;gauss;37;77.71
sca_hw;225000;gauss;38;72.27
sca_hw;225000;gauss;39;107.25
sca_hw;225000;gauss;40;88.16
sca_hw;225000;gauss;0;1.0
sca_hw;225000;gauss;1;1.0
sca_hw;225000;gauss;2;1.0
sca_hw;225000;gauss;3;1.0
sca_hw;225000;gauss;4;1.0
sca_hw;225000;gauss;5;1.0
sca_hw;225000;gauss;6;2.36
sca_hw;225000;gauss;7;40.99
sca_hw;225000;gauss;8;46.81
sca_hw;225000;gauss;9;126.88
sca_hw;225000;gauss;10;70.34
sca_hw;225000;gauss;11;60.58
sca_hw;225000;gauss;12;95.8
sca_hw;225000;gauss;13;79.25
sca_hw;225000;gauss;14;92.59
sca_hw;225000;gauss;15;53.98
sca_hw;225000;gauss;16;132.79
sca_hw;225000;gauss;17;122.14
sca_hw;225000;gauss;18;83.95
sca_hw;225000;gauss;19;103.34
sca_hw;225000;gauss;20;59.69
sca_hw;225000;gauss;21;72.06
sca_hw;225000;gauss;22;87.54
sca_hw;225000;gauss;23;81.83
sca_hw;225000;gauss;24;108.86
sca_hw;225000;gauss;25;119.6
sca_hw;225000;gauss;26;58.75
sca_hw;225000;gauss;27;79.17
sca_hw;225000;gauss;28;85.76
sca_hw;225000;gauss;29;63.33
sca_hw;225000;gauss;30;91.87
sca_hw;225000;gauss;31;95.58
sca_hw;225000;gauss;32;93.99
sca_hw;225000;gauss;33;56.84
sca_hw;225000;gauss;34;91.69
sca_hw;225000;gauss;35;65.79
sca_hw;225000;gauss;36;51.69
sca_hw;225000;gauss;37;105.62
sca_hw;225000;gauss;38;109.44
sca_hw;225000;gauss;39;34.1
sca_hw;225000;gauss;40;35.89
sca_hw;225000;gauss;0;1.0
sca_hw;225000;gauss;1;1.0
sca_hw;225000;gauss;2;1.0
sca_hw;225000;gauss;3;1.0
sca_hw;225000;gauss;4;1.0
sca_hw;225000;gauss;5;1.02
sca_hw;225000;gauss;6;1.63
sca_hw;225000;gauss;7;2.24
sca_hw;225000;gauss;8;28.76
sca_hw;225000;gauss;9;79.08
sca_hw;225000;gauss;10;68.51
sca_hw;225000;gauss;11;62.22
sca_hw;225000;gauss;12;68.58
sca_hw;225000;gauss;13;94.39
sca_hw;225000;gauss;14;89.46
sca_hw;225000;gauss;15;60.2
sca_hw;225000;gauss;16;116.48
sca_hw;225000;gauss;17;93.13
sca_hw;225000;gauss;18;96.27
sca_hw;225000;gauss;19;75.73
sca_hw;225000;gauss;20;69.56
sca_hw;225000;gauss;21;96.33
sca_hw;225000;gauss;22;72.05
sca_hw;225000;gauss;23;101.4
sca_hw;225000;gauss;24;79.14
sca_hw;225000;gauss;25;76.57
sca_hw;225000;gauss;26;73.25
sca_hw;225000;gauss;27;89.01
sca_hw;225000;gauss;28;101.64
sca_hw;225000;gauss;29;90.57
sca_hw;225000;gauss;30;40.2
sca_hw;225000;gauss;31;92.88
sca_hw;225000;gauss;32;76.93
sca_hw;225000;gauss;33;101.32
sca_hw;225000;gauss;34;64.54
sca_hw;225000;gauss;35;43.04
sca_hw;225000;gauss;36;116.4
sca_hw;225000;gauss;37;89.58
sca_hw;225000;gauss;38;82.56
sca_hw;225000;gauss;39;55.18
sca_hw;225000;gauss;40;68.14
sca_hw;225000;gauss;0;1.0
sca_hw;225000;gauss;1;1.0
sca_hw;225000;gauss;2;1.0
sca_hw;225000;gauss;3;1.0
sca_hw;225000;gauss;4;1.0
sca_hw;225000;gauss;5;1.01
sca_hw;225000;gauss;6;1.34
sca_hw;225000;gauss;7;38.17
sca_hw;225000;gauss;8;88.32
sca_hw;225000;gauss;9;84.15
sca_hw;225000;gauss;10;62.15
sca_hw;225000;gauss;11;73.94
sca_hw;225000;gauss;12;58.06
sca_hw;225000;gauss;13;62.75
sca_hw;225000;gauss;14;51.65
sca_hw;225000;gauss;15;53.82
sca_hw;225000;gauss;16;70.41
sca_hw;gauss;17;54.07
sca_hw;gauss;18;77.92
sca_hw;gauss;19;83.55
sca_hw;gauss;20;30.05
sca_hw;gauss;21;65.6
sca_hw;gauss;22;53.36
sca_hw;gauss;23;71.99
sca_hw;gauss;24;101.78
sca_hw;gauss;25;82.52
sca_hw;gauss;26;84.7
sca_hw;gauss;27;69.35
sca_hw;gauss;28;53.87
sca_hw;gauss;29;91.67
sca_hw;gauss;30;73.54
sca_hw;gauss;31;52.89
sca_hw;gauss;40;98.69
sca_hw;gauss;40;95.69
sca_hw;gauss;40;60.96
